Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_2_56_128_ld_128_128_2,Gemm_Hipblaslt_1285,0.0236037
GemmAndBiasTunableOp_float_TN,tn_4_56_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0306361
GemmAndBiasTunableOp_float_TN,tn_256_12_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.145101
GemmAndBiasTunableOp_float_TN,tn_2_12_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0626108
GemmAndBiasTunableOp_float_TN,tn_4_12_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0402924
GemmAndBiasTunableOp_float_TN,tn_10_12_256_ld_256_256_10,Gemm_Hipblaslt_1284,0.0253963
GemmAndBiasTunableOp_float_TN,tn_128_295_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.156013
GemmAndBiasTunableOp_float_TN,tn_2_295_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0292948
GemmAndBiasTunableOp_float_TN,tn_4_295_128_ld_128_128_4,Gemm_Hipblaslt_1287,0.0227717
GemmAndBiasTunableOp_float_TN,tn_256_19_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.240856
GemmAndBiasTunableOp_float_TN,tn_2_19_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0407244
GemmAndBiasTunableOp_float_TN,tn_4_19_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0409707
GemmAndBiasTunableOp_float_TN,tn_10_19_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.042054
GemmAndBiasTunableOp_float_TN,tn_128_136_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.0710751
GemmAndBiasTunableOp_float_TN,tn_2_136_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0300654
GemmAndBiasTunableOp_float_TN,tn_4_136_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0293264
GemmAndBiasTunableOp_float_TN,tn_128_164_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.120802
GemmAndBiasTunableOp_float_TN,tn_2_164_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0326811
GemmAndBiasTunableOp_float_TN,tn_4_164_128_ld_128_128_4,Gemm_Hipblaslt_1284,0.0230586
GemmAndBiasTunableOp_float_TN,tn_128_69_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.19549
GemmAndBiasTunableOp_float_TN,tn_2_69_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0288184
GemmAndBiasTunableOp_float_TN,tn_4_69_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.02889
GemmAndBiasTunableOp_float_TN,tn_128_8_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.134041
GemmAndBiasTunableOp_float_TN,tn_2_8_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0460151
GemmAndBiasTunableOp_float_TN,tn_4_8_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0279406
GemmAndBiasTunableOp_float_TN,tn_256_2_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.134901
GemmAndBiasTunableOp_float_TN,tn_2_2_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0245262
GemmAndBiasTunableOp_float_TN,tn_4_2_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0260074
GemmAndBiasTunableOp_float_TN,tn_10_2_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0406494
GemmAndBiasTunableOp_float_TN,tn_128_40_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.085245
GemmAndBiasTunableOp_float_TN,tn_2_40_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0282822
GemmAndBiasTunableOp_float_TN,tn_4_40_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0516894
GemmAndBiasTunableOp_float_TN,tn_128_140_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.221404
GemmAndBiasTunableOp_float_TN,tn_2_140_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0289914
GemmAndBiasTunableOp_float_TN,tn_4_140_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0294631
GemmAndBiasTunableOp_float_TN,tn_128_139_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0726585
GemmAndBiasTunableOp_float_TN,tn_2_139_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0293805
GemmAndBiasTunableOp_float_TN,tn_4_139_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0297781
GemmAndBiasTunableOp_float_TN,tn_256_8_1152_ld_1152_1152_256,Gemm_Hipblaslt_1287,0.105551
GemmAndBiasTunableOp_float_TN,tn_2_8_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0630311
GemmAndBiasTunableOp_float_TN,tn_4_8_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0644851
GemmAndBiasTunableOp_float_TN,tn_10_8_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0510145
GemmAndBiasTunableOp_float_TN,tn_128_104_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0729077
GemmAndBiasTunableOp_float_TN,tn_2_104_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0393762
GemmAndBiasTunableOp_float_TN,tn_4_104_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0454728
GemmAndBiasTunableOp_float_TN,tn_128_85_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.100087
GemmAndBiasTunableOp_float_TN,tn_2_85_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0294824
GemmAndBiasTunableOp_float_TN,tn_4_85_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0239539
GemmAndBiasTunableOp_float_TN,tn_256_7_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.139954
GemmAndBiasTunableOp_float_TN,tn_2_7_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0393462
GemmAndBiasTunableOp_float_TN,tn_4_7_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0396035
GemmAndBiasTunableOp_float_TN,tn_10_7_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0255749
GemmAndBiasTunableOp_float_TN,tn_128_23_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0802909
GemmAndBiasTunableOp_float_TN,tn_2_23_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0279102
GemmAndBiasTunableOp_float_TN,tn_4_23_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0249864
GemmAndBiasTunableOp_float_TN,tn_128_34_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0292852
GemmAndBiasTunableOp_float_TN,tn_2_34_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0111306
GemmAndBiasTunableOp_float_TN,tn_4_34_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0109218
GemmAndBiasTunableOp_float_TN,tn_128_512_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0561683
GemmAndBiasTunableOp_float_TN,tn_2_512_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.014193
GemmAndBiasTunableOp_float_TN,tn_4_512_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0139856
